,Team_Name,Tries_Scored,Conversions,Conversion_Attempts,Conversion_Percentage,Penalty_Goals,Penalty_Attempts,Penalty_Percentage,Kick_at_Goal_Success,Drop_Goals,Drop_Goal_Attempts,Kicks_from_Hand,Passes,Runs,Metres_Run,Possession(%),Clean_Breaks,Defenders_Beaten,Offloads,Rucks_Won,Total_Rucks,%Rucks_Won,Mauls_Won,Total_Mauls,%Mauls_Won,Turnovers_Conceded,Tackles_Made,Tackles_Missed,Tackling_Success_Rate,Own_Scrum_Won,Own_Scrum_Lost,Opp_Scrum_Won,Opp_Scrum_Lost,%Scrums_on_own_feed,Own_Lineout_Won,Own_Lineout_Lost,Opp_Lineout_Won,Opp_Lineout_Lost,%Lineouts_on_own_feed,Penalties_Conceeded,Yellow_Cards,Red_Cards,Referee,Playing_Location,Result,Outcome,Tot_Own_Scrums,Penalties_Won
1646,Gloucester Rugby,5.0,1.0,1.0,100.0,4.0,4.0,100.0,1.0,0.0,0.0,33.0,142.0,94.0,593.0,0.0,9.0,22.0,4.0,71.0,76.0,0.934,0.0,0.0,0,16.0,130,14,0.903,4.0,1.0,1.0,7.0,0,11.0,6.0,2.0,8.0,0.647,9,0,0,DM Rose,1,39 ,1.0,5.0,16
1647,Newcastle Falcons,3.0,1.0,1.0,100.0,2.0,2.0,100.0,1.0,0.0,0.0,35.0,103.0,98.0,379.0,0.0,7.0,14.0,10.0,67.0,69.0,0.971,0.0,0.0,0,12.0,124,22,0.8490000000000001,7.0,1.0,1.0,4.0,0,8.0,2.0,6.0,11.0,0.8,16,1,0,DM Rose,0, 23,0.0,8.0,9
1648,Leicester Tigers,3.0,1.0,1.0,100.0,4.0,4.0,100.0,1.0,0.0,0.0,14.0,169.0,127.0,674.0,0.0,8.0,13.0,10.0,10.0,1.0,0.98,0.0,0.0,0,14.0,70,6,0.9209999999999999,12.0,2.0,2.0,5.0,0,7.0,0.0,4.0,9.0,1.0,13,1,0,CR White,1,29 ,1.0,14.0,16
1649,Northampton Saints,1.0,1.0,1.0,100.0,4.0,4.0,100.0,1.0,0.0,0.0,14.0,71.0,54.0,213.0,0.0,2.0,6.0,4.0,45.0,47.0,0.9570000000000001,0.0,0.0,0,8.0,153,15,0.9109999999999999,5.0,2.0,2.0,12.0,0,9.0,4.0,0.0,7.0,0.6920000000000001,16,0,0,CR White,0, 19,0.0,7.0,13
1650,London Irish,4.0,1.0,1.0,100.0,1.0,1.0,100.0,1.0,1.0,0.0,40.0,105.0,80.0,396.0,0.0,1.0,9.0,10.0,52.0,54.0,0.963,0.0,0.0,0,11.0,118,7,0.9440000000000001,12.0,1.0,1.0,9.0,0,9.0,1.0,3.0,17.0,0.9,12,0,0,A Rowden,1,28 ,1.0,13.0,9
1651,Sale Sharks,0.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,23.0,123.0,94.0,503.0,0.0,5.0,7.0,7.0,58.0,65.0,0.892,0.0,0.0,0,25.0,83,9,0.902,9.0,1.0,1.0,12.0,0,17.0,3.0,1.0,9.0,0.85,9,1,0,A Rowden,0, 6,0.0,10.0,12
1652,Worcester Warriors,2.0,2.0,2.0,100.0,2.0,2.0,100.0,1.0,1.0,0.0,23.0,143.0,108.0,545.0,0.0,6.0,18.0,9.0,78.0,81.0,0.963,0.0,0.0,0,18.0,131,18,0.879,6.0,1.0,0.0,7.0,0,13.0,3.0,4.0,7.0,0.812,10,0,0,W Barnes,1,23 ,0.0,7.0,12
1653,Harlequins,4.0,2.0,4.0,50.0,2.0,5.0,40.0,0.444,0.0,0.0,25.0,95.0,93.0,469.0,0.0,7.0,18.0,12.0,58.0,61.0,0.951,0.0,0.0,0,17.0,138,18,0.885,7.0,0.0,1.0,6.0,0,7.0,4.0,3.0,13.0,0.636,12,1,0,W Barnes,0, 30,1.0,7.0,10
1654,Sale Sharks,0.0,0.0,0.0,0.0,3.0,4.0,75.0,0.75,0.0,0.0,21.0,112.0,78.0,298.0,0.0,4.0,5.0,3.0,63.0,67.0,0.94,3.0,3.0,1,10.0,83,2,0.977,5.0,3.0,1.0,8.0,1,9.0,2.0,3.0,12.0,0.818,15,0,0,DM Rose,1,9 ,0.0,8.0,11
1655,Worcester Warriors,1.0,0.0,1.0,0.0,4.0,9.0,44.44444444444444,0.4,0.0,1.0,23.0,105.0,69.0,268.0,0.0,0.0,2.0,6.0,52.0,53.0,0.981,2.0,2.0,1,10.0,96,5,0.95,8.0,1.0,3.0,5.0,1,12.0,3.0,2.0,9.0,0.8,11,0,0,DM Rose,0, 17,1.0,9.0,15
