Team_Name,Tries_Scored,Conversions,Conversion_Attempts,Conversion_Percentage,Penalty_Goals,Penalty_Attempts,Penalty_Percentage,Kick_at_Goal_Success,Drop_Goals,Drop_Goal_Attempts,Kicks_from_Hand,Passes,Runs,Metres_Run,Possession(%),Clean_Breaks,Defenders_Beaten,Offloads,Rucks_Won,Total_Rucks,%Rucks_Won,Mauls_Won,Total_Mauls,%Mauls_Won,Turnovers_Conceded,Tackles_Made,Tackles_Missed,Tackling_Success_Rate,Own_Scrum_Won,Own_Scrum_Lost,Opp_Scrum_Won,Opp_Scrum_Lost,%Scrums_on_own_feed,Own_Lineout_Won,Own_Lineout_Lost,Opp_Lineout_Won,Opp_Lineout_Lost,%Lineouts_on_own_feed,Penalties_Conceeded,Yellow_Cards,Red_Cards,Referee,Playing_Location,Result,Outcome,Tot_Own_Scrums,Penalties_Won
7,0,0,0,0,0,0,0,0,0,0,10,121,81,257,0,4,13,11,45,52,0.865,0,0,0,14,74,12,0.86,9,3,5,2,0,19,2,1,11,0.905,14,1,0,0,0,0,0,12,13
3,2,2,2,100,4,6,66.66666667,0.78,1,0,8,104,116,478,0.5,12,24,18,72,74,0.973,0,0,0,9,74,15,0.83,3,3,0,6,0,9,3,3,10,0.75,16,2,0,0,1,29,1,6,15
9,2,1,2,50,3,4,75,0.71,1,0,12,76,72,293,0.5,5,15,11,49,50,0.98,0,0,0,10,131,24,0.85,6,0,3,3,0,10,3,3,9,0.769,15,1,0,0,0,24,0,6,16
10,2,2,2,100,1,1,100,1,0,0,14,84,95,231,0.5,2,16,3,73,78,0.936,0,0,0,15,100,16,0.86,2,1,2,4,0,16,2,2,10,0.889,13,1,0,0,1,17,0,3,12
8,2,2,2,100,5,8,62.5,0.7,0,0,18,108,103,381,0.5,8,16,9,68,71,0.958,0,0,0,8,105,16,0.87,4,2,1,2,0,10,2,2,16,0.833,12,1,0,0,0,29,1,6,13
11,6,4,6,66.66666667,5,6,83.33333333,0.75,0,0,19,101,95,690,0.75,17,18,10,43,46,0.935,0,0,0,13,92,17,0.84,6,1,1,6,0,7,3,5,8,0.7,9,1,0,0,1,53,1,7,13
6,2,0,2,0,0,1,0,0,0,0,14,125,112,435,0.25,8,18,10,70,76,0.921,0,0,0,14,59,18,0.77,6,1,1,6,0,8,5,3,7,0.615,13,2,0,0,0,10,0,7,9
1,6,5,6,83.33333333,2,2,100,0.88,0,0,15,145,110,488,0.75,11,23,25,56,58,0.966,0,0,0,14,131,17,0.89,8,1,1,8,0,12,0,4,7,1,6,0,0,0,1,46,1,9,14
13,2,2,2,100,1,1,100,1,0,0,10,92,111,255,0.25,4,17,9,81,87,0.931,0,0,0,11,87,23,0.79,8,1,1,8,0,7,4,0,12,0.636,14,1,0,0,0,17,0,9,6
12,2,2,2,100,3,5,60,0.71,0,0,16,117,131,450,0.4,5,43,28,81,83,0.976,0,0,0,15,66,12,0.85,9,1,2,5,0,4,4,2,17,0.5,14,0,1,0,1,23,1,10,9
2,3,2,3,66.66666667,1,5,20,0.38,0,1,13,100,85,390,0.6,4,12,13,33,42,0.786,0,0,0,17,123,43,0.74,5,2,1,9,0,17,2,4,4,0.895,9,0,0,0,0,22,0,7,14
7,2,2,2,100,8,8,100,1,0,1,21,124,105,363,0.5,6,11,10,77,82,0.939,0,0,0,7,109,12,0.9,7,0,3,1,0,10,0,4,12,1,11,1,0,0,1,38,1,7,18
11,2,1,2,50,1,1,100,0.67,0,0,13,118,110,401,0.5,3,12,10,76,80,0.95,0,0,0,16,106,11,0.91,1,3,0,7,0,12,4,0,10,0.75,18,1,0,0,0,15,0,4,11
12,1,0,1,0,5,6,83.33333333,0.71,0,0,15,135,135,408,0.5,11,27,21,94,95,0.989,0,0,0,11,83,8,0.91,2,0,1,7,0,11,3,3,12,0.786,11,0,0,0,1,20,1,2,14
13,1,1,1,100,4,4,100,1,0,1,16,63,75,141,0.5,1,8,10,46,52,0.885,0,0,0,8,128,27,0.83,7,1,0,2,0,12,3,3,11,0.8,14,1,0,0,0,19,0,8,11
1,1,1,1,100,3,5,60,0.67,0,0,15,86,90,315,0.25,1,11,5,65,71,0.915,0,0,0,16,95,8,0.92,4,5,0,2,0,11,2,1,9,0.846,13,0,0,0,1,16,0,9,16
7,3,3,3,100,4,8,50,0.64,0,0,25,102,91,293,0.75,8,8,7,68,71,0.958,0,0,0,13,104,11,0.9,2,0,5,4,0,9,1,2,11,0.9,16,0,0,0,0,33,1,2,13
8,0,0,0,0,5,5,100,1,1,1,16,119,87,376,0,8,18,12,62,67,0.925,0,0,0,14,106,14,0.88,5,0,1,7,0,7,2,1,12,0.778,10,0,0,0,1,18,1,5,8
12,1,0,1,0,3,5,60,0.5,0,0,15,79,87,229,1,3,14,9,60,63,0.952,0,0,0,14,92,18,0.84,7,1,0,5,0,12,1,2,7,0.923,8,0,0,0,0,14,0,8,10
8,0,0,0,0,2,5,40,0.4,0,0,23,104,89,447,0,9,22,3,60,63,0.952,0,0,0,20,90,11,0.89,4,0,1,3,0,10,3,3,20,0.769,15,1,0,0,1,6,0,4,10
7,0,0,0,0,4,6,66.66666667,0.67,0,1,29,105,81,234,0,3,11,7,55,60,0.917,0,0,0,9,93,22,0.81,3,1,0,4,0,20,3,3,10,0.87,10,0,0,0,0,12,1,4,15
