Team_Name,Tries_Scored,Conversions,Conversion_Attempts,Conversion_Percentage,Penalty_Goals,Penalty_Attempts,Penalty_Percentage,Kick_at_Goal_Success,Drop_Goals,Drop_Goal_Attempts,Kicks_from_Hand,Passes,Runs,Metres_Run,Possession(%),Clean_Breaks,Defenders_Beaten,Offloads,Rucks_Won,Total_Rucks,Percent_Rucks_Won,Mauls_Won,Total_Mauls,Percent_Mauls_Won,Turnovers_Conceded,Tackles_Made,Tackles_Missed,Tackling_Success_Rate,Own_Scrum_Won,Own_Scrum_Lost,Opp_Scrum_Won,Opp_Scrum_Lost,Percent_Scrums_on_own_feed,Own_Lineout_Won,Own_Lineout_Lost,Opp_Lineout_Won,Opp_Lineout_Lost,Percent_Lineouts_on_own_feed,Penalties_Conceeded,Yellow_Cards,Red_Cards,Referee,Playing_Location,Result,Outcome,Tot_Own_Scrums,Penalties_Won
7,0,0,0,0,1,1,100,1,0,0,28,81,76,178,0,3,9,7,45,49,0.918,0,0,0,17,111,22,0.83,4,5,0,5,0.444,16,2,0,13,0.889,10,2,0,0,0,3,0,9,6
10,1,1,1,100,1,1,100,1,0,0,13,101,73,271,0.39,4,8,7,51,53,0.962,4,7,0,14,111,22,0.83,6,2,0,8,0.75,12,1,2,13,0.923,14,1,0,0,1,10,0,8,14
2,8,7,8,87.5,0,0,0,0.88,0,0,11,144,130,714,0.61,27,22,15,78,80,0.975,7,8,0,16,66,8,0.89,8,0,2,6,1,13,2,1,12,0.867,14,2,0,0,0,54,1,8,14
7,5,3,5,60,3,3,100,0.75,0,0,26,127,98,368,0.4,10,24,12,54,56,0.964,4,5,0,11,141,20,0.88,6,0,0,5,1,14,2,2,8,0.875,8,0,0,0,1,40,1,6,11
11,3,3,3,100,1,1,100,1,0,0,19,176,175,692,0.6,13,20,15,10,1,0.953,0,1,0,14,80,24,0.77,5,0,0,6,1,8,2,2,14,0.8,11,0,0,0,0,24,0,5,8
5,1,0,1,0,4,9,44.44444444,0.4,0,0,34,84,106,314,0.33,1,12,7,78,80,0.975,0,0,0,13,134,11,0.92,1,0,0,10,1,8,3,0,7,0.727,5,0,0,0,1,17,0,1,15
9,2,2,2,100,2,2,100,1,0,0,38,152,116,290,0.67,2,11,3,86,90,0.956,0,0,0,8,109,12,0.9,10,0,0,1,1,7,0,3,8,1,15,1,1,0,0,20,1,10,5
2,1,1,1,100,4,5,80,0.83,0,0,19,120,117,433,0.54,5,24,16,81,83,0.976,1,2,0,16,84,9,0.9,6,0,1,10,1,5,0,2,10,1,11,0,0,0,1,19,1,6,9
6,1,1,1,100,3,6,50,0.57,0,0,30,92,79,182,0.46,3,9,7,60,61,0.984,6,6,1,8,128,24,0.84,10,1,0,6,0.909,10,2,0,5,0.833,9,0,0,0,0,16,0,11,11
3,4,3,4,75,1,2,50,0.67,0,0,19,249,173,545,0.8,14,42,14,12,1,0.954,0,0,0,18,78,8,0.91,9,2,5,2,0.818,14,0,1,10,1,4,0,0,0,1,29,1,11,14
10,1,0,1,0,1,1,100,0.5,0,0,20,95,85,233,0.2,5,8,7,66,70,0.943,0,0,0,17,155,42,0.79,2,5,2,9,0.286,10,1,0,14,0.909,14,0,0,0,0,8,0,7,4
1,3,2,3,66.66666667,2,2,100,0.8,0,1,30,120,135,371,0.57,2,15,5,11,1,0.975,4,5,0,9,128,18,0.88,5,3,2,3,0.625,9,2,0,11,0.818,7,0,1,0,1,25,0,8,11
0,3,3,3,100,3,5,60,0.75,0,0,36,86,93,340,0.43,3,18,0,81,81,1,2,3,0,13,164,15,0.92,3,2,3,5,0.6,11,0,2,9,1,11,0,0,0,0,30,1,5,7
8,1,1,1,100,6,6,100,1,0,0,20,116,90,279,0.31,6,10,8,51,52,0.981,2,4,0,11,162,28,0.85,6,0,2,8,1,9,0,2,8,1,10,1,0,0,1,25,3,6,8
4,3,2,3,66.66666667,2,3,66.66666667,0.67,0,0,24,175,183,438,0.69,13,28,14,13,1,0.993,4,4,1,8,75,10,0.88,8,2,0,6,0.8,8,2,0,9,0.8,8,1,0,0,0,25,3,10,10
11,3,3,3,100,0,1,0,0.75,0,0,14,98,103,324,0.42,11,15,16,70,74,0.946,4,5,0,11,153,14,0.92,5,1,1,8,0.833,10,3,2,8,0.769,14,2,0,0,1,21,1,6,10
