Unnamed:_0,Team_Name,Tries_Scored,Conversions,Conversion_Attempts,Conversion_Percentage,Penalty_Goals,Penalty_Attempts,Penalty_Percentage,Kick_at_Goal_Success,Drop_Goals,Drop_Goal_Attempts,Kicks_from_Hand,Passes,Runs,Metres_Run,Possession(%),Clean_Breaks,Defenders_Beaten,Offloads,Rucks_Won,Total_Rucks,%Rucks_Won,Mauls_Won,Total_Mauls,%Mauls_Won,Turnovers_Conceded,Tackles_Made,Tackles_Missed,Tackling_Success_Rate,Own_Scrum_Won,Own_Scrum_Lost,Opp_Scrum_Won,Opp_Scrum_Lost,%Scrums_on_own_feed,Own_Lineout_Won,Own_Lineout_Lost,Opp_Lineout_Won,Opp_Lineout_Lost,%Lineouts_on_own_feed,Penalties_Conceeded,Yellow_Cards,Red_Cards,Referee,Playing_Location,Result,Outcome,Tot_Own_Scrums,Penalties_Won
0,0,8,5,8,62.5,1,1,100,0.67,0,0,32,131,115,500,0.52,12,17,19,67,71,0.944,8,8,1,17,104,16,0.87,3,2,3,5,1,13,2,3,5,0.867,10,0,0,33,1,53,1,5,9
1,1,0,0,0,0,2,4,50,0.5,0,0,18,122,98,279,0.48,1,16,13,68,73,0.932,2,2,1,14,96,17,0.85,5,3,2,3,1,5,3,2,13,0.625,9,1,0,33,0,6,0,8,10
2,2,2,2,2,100,2,2,100,1,0,0,34,144,117,403,0.5,5,14,10,76,80,0.95,0,0,0,14,69,15,0.82,3,3,3,5,0,9,1,3,13,0.9,12,0,0,1,1,20,0,6,7
3,3,2,2,2,100,5,5,100,1,0,1,33,105,76,325,0.5,5,15,4,43,45,0.956,0,0,0,15,135,14,0.91,5,3,3,3,0,13,3,1,9,0.812,7,1,0,1,0,29,1,8,12
4,4,4,4,4,100,2,4,50,0.75,0,0,35,97,88,362,0.45,4,7,6,63,67,0.94,4,4,1,9,130,23,0.85,8,1,0,3,1,11,2,1,13,0.846,8,1,0,2,1,34,1,9,8
5,5,3,2,3,66.66666667,3,3,100,0.83,0,0,33,123,121,424,0.55,10,23,10,90,94,0.957,3,4,0,13,95,7,0.93,3,0,1,8,0,13,1,2,11,0.929,8,0,0,2,0,28,0,3,8
6,6,4,2,4,50,4,4,100,0.75,0,0,28,100,83,426,0.67,5,9,8,49,52,0.942,0,0,0,10,118,24,0.83,10,1,3,3,0,11,1,4,13,0.917,10,0,0,3,1,36,1,11,13
7,7,2,2,2,100,1,1,100,1,0,0,17,168,136,558,0.33,12,24,12,71,76,0.934,0,0,0,17,85,9,0.9,3,3,1,10,0,13,4,1,11,0.765,13,0,0,3,0,17,0,6,10
8,8,0,0,0,0,5,6,83.33333333,0.83,0,0,14,159,128,361,0.58,2,13,19,98,99,0.99,4,4,1,13,94,5,0.95,5,1,2,5,1,12,1,0,10,0.923,13,1,0,4,1,15,0,6,17
9,9,2,2,2,100,2,6,33.33333333,0.5,0,0,21,115,90,305,0.42,2,5,10,58,61,0.951,8,12,0,9,134,13,0.91,5,2,1,5,0,10,0,1,12,1,17,2,0,4,0,20,1,7,13
