Team_Name,Tries_Scored,Conversions,Conversion_Attempts,Conversion_Percentage,Penalty_Goals,Penalty_Attempts,Penalty_Percentage,Kick_at_Goal_Success,Drop_Goals,Drop_Goal_Attempts,Kicks_from_Hand,Passes,Runs,Metres_Run,Possession(%),Clean_Breaks,Defenders_Beaten,Offloads,Rucks_Won,Total_Rucks,%Rucks_Won,Mauls_Won,Total_Mauls,%Mauls_Won,Turnovers_Conceded,Tackles_Made,Tackles_Missed,Tackling_Success_Rate,Own_Scrum_Won,Own_Scrum_Lost,Opp_Scrum_Won,Opp_Scrum_Lost,%Scrums_on_own_feed,Own_Lineout_Won,Own_Lineout_Lost,Opp_Lineout_Won,Opp_Lineout_Lost,%Lineouts_on_own_feed,Penalties_Conceeded,Yellow_Cards,Red_Cards,Referee,Playing_Location,Result,Outcome,Tot_Own_Scrums,Penalties_Won
10,1,0,1,0,1,2,50,0.33,0,0,22,110,66,199,0.14,2,9,5,43,48,0.896,0,0,0,15,109,27,0.8,9,0,0,7,0,10,3,5,13,0.769,11,1,0,2,0,8,0,9,11
9,2,2,2,100,3,4,75,0.83,1,0,28,132,110,414,0.4,3,12,8,76,80,0.95,0,0,0,15,96,25,0.79,10,0,0,4,0,12,1,3,13,0.923,10,1,0,1,1,26,1,10,10
5,3,1,3,33.33333333,2,3,66.66666667,0.5,0,0,24,122,89,353,0.6,10,25,6,65,67,0.97,0,0,0,15,111,12,0.9,4,0,0,10,0,13,3,1,12,0.812,10,1,0,1,0,23,0,4,10
8,4,3,4,75,2,5,40,0.56,0,0,27,70,74,237,0.57,7,16,6,41,42,0.976,0,0,0,8,56,9,0.86,2,4,2,4,0,10,1,0,9,0.909,12,0,0,3,1,32,0,6,8
4,3,3,3,100,5,8,62.5,0.73,0,0,21,60,77,376,0.43,4,9,4,35,40,0.875,0,0,0,7,56,16,0.78,4,2,4,2,0,9,0,1,10,1,8,0,0,3,0,36,1,6,12
3,5,4,5,80,3,3,100,0.88,1,0,22,134,100,677,0.42,19,23,14,58,61,0.951,4,4,1,16,132,11,0.92,2,0,3,5,1,12,2,0,16,0.857,7,1,0,0,1,45,1,2,12
6,0,0,0,0,0,0,0,0,0,0,24,165,107,316,0.58,2,11,10,79,84,0.94,5,8,0,9,98,23,0.81,5,3,0,2,0,16,0,2,12,1,12,0,1,0,0,0,0,8,7
7,1,1,1,100,1,1,100,1,0,0,21,205,148,421,0.61,4,22,15,11,1,0.974,5,5,1,17,86,20,0.81,9,0,1,9,1,12,3,0,7,0.8,9,1,0,4,1,10,0,9,12
0,4,3,4,75,3,3,100,0.86,0,0,26,143,112,613,0.39,15,20,16,65,66,0.985,3,3,1,12,134,22,0.86,9,1,0,9,1,7,0,3,12,1,12,0,0,4,0,35,1,10,9
10,1,1,1,100,1,2,50,0.67,0,0,19,112,84,281,0.48,4,15,7,66,70,0.943,7,7,1,12,106,33,0.76,5,2,1,6,1,10,0,2,12,1,19,2,0,3,1,10,0,7,6
1,6,5,6,83.33333333,2,5,40,0.64,0,0,24,113,108,589,0.52,14,33,9,77,78,0.987,7,7,1,9,90,15,0.86,6,1,2,5,1,12,2,0,10,0.857,6,0,0,3,0,46,1,7,19
6,1,1,1,100,4,7,57.14285714,0.62,0,0,21,123,90,334,0.5,5,14,4,61,68,0.897,0,0,0,24,100,11,0.9,3,1,2,8,0,14,0,1,15,1,9,1,0,4,1,19,0,4,11
8,1,1,1,100,5,7,71.42857143,0.75,0,0,24,107,83,351,0.5,4,11,4,53,58,0.914,0,0,0,14,105,14,0.88,8,2,1,3,0,15,1,0,14,0.938,11,1,0,4,0,22,1,10,9
4,4,4,4,100,4,4,100,1,0,0,30,103,80,449,0.57,7,17,5,54,56,0.964,0,0,0,18,148,28,0.84,9,0,3,7,0,11,1,3,5,0.917,6,2,0,1,1,40,1,9,12
2,3,2,3,66.66666667,0,0,0,0.67,0,1,28,198,137,388,0.43,9,28,12,10,1,0.981,0,0,0,14,74,17,0.81,7,3,0,9,0,5,3,1,11,0.625,12,1,0,1,0,19,0,10,6
0,4,4,4,100,1,2,50,0.83,0,0,23,97,84,420,0.45,9,21,8,52,53,0.981,7,7,1,10,100,24,0.81,5,1,1,5,1,12,1,3,14,0.923,11,0,0,7,1,31,1,6,9
3,3,3,3,100,1,1,100,1,0,0,19,131,100,357,0.55,13,24,4,78,80,0.975,7,8,0,10,70,21,0.77,5,1,1,5,0,14,3,1,12,0.824,9,1,0,7,0,24,0,6,11
11,3,3,3,100,5,6,83.33333333,0.89,0,0,22,81,61,345,0.46,11,13,8,38,42,0.905,1,3,0,11,92,16,0.85,11,2,0,6,0,8,2,3,11,0.8,13,1,0,2,1,36,1,13,10
9,1,1,1,100,2,3,66.66666667,0.75,0,0,14,112,93,324,0.54,8,16,17,64,69,0.928,3,5,0,19,66,13,0.84,6,0,2,11,0,11,3,2,8,0.786,10,0,0,2,0,13,0,6,13
5,4,3,4,75,3,3,100,0.86,0,0,24,117,103,481,0.67,5,13,9,73,77,0.948,0,0,0,13,98,16,0.86,9,1,0,7,0,14,2,1,14,0.875,13,1,0,5,1,35,1,10,11
7,2,1,2,50,2,3,66.66666667,0.6,0,0,21,134,95,343,0.33,3,16,8,67,72,0.931,0,0,0,19,115,13,0.9,7,0,1,9,0,14,1,2,14,0.933,11,0,0,5,0,18,0,7,13
3,2,1,2,50,3,7,42.85714286,0.44,0,0,29,103,86,420,0.41,8,33,7,57,62,0.919,6,7,0,14,151,18,0.89,4,1,1,5,0,10,2,1,4,0.833,7,0,0,4,1,21,1,5,11
